PenaltyID | DriverID | PlateNumber | PenaltyDate | PenaltyLevel | Description
451159 | 85139996 | 80D906-81 | 2024-03-08 | High | Speeding
131874 | 50812890 | 74E486-22 | 2023-02-04 | High | Running red light
164236 | 75463635 | 89C692-61 | 2024-11-01 | Medium | Phone use while driving
739639 | 57558533 | 49C419-11 | 2022-11-07 | Low | Illegal parking
882297 | 72974378 | 56F253-22 | 2024-10-11 | Low | No seatbelt
350234 | 59335308 | 44C220-51 | 2022-11-04 | High | Phone use while driving
751003 | 20443453 | 59D327-71 | 2024-01-09 | Low | Phone use while driving
595027 | 26543530 | 61G903-31 | 2024-04-19 | High | Running red light
179604 | 85627074 | 80D906-81 | 2023-11-28 | Low | Speeding
742193 | 77272379 | 69E135-61 | 2024-06-21 | High | Phone use while driving
626506 | 69832242 | 44C220-51 | 2022-09-04 | Low | No seatbelt
376044 | 62517336 | 96H646-31 | 2023-01-28 | High | No seatbelt
817399 | 57558533 | 18E813-61 | 2024-09-21 | Low | Illegal parking
162165 | 51061089 | 56F689-51 | 2024-06-05 | Low | No seatbelt
870104 | 65354353 | 21C133-81 | 2025-04-11 | Medium | Illegal parking
166678 | 49592210 | 91D628-81 | 2024-12-09 | Medium | Running red light
764010 | 85627074 | 75D715-44 | 2025-03-29 | Medium | Illegal parking
837356 | 45305608 | 43C188-22 | 2024-12-23 | Medium | No seatbelt
148909 | 30121234 | 98B633-44 | 2022-06-30 | Medium | Phone use while driving
771059 | 24545253 | 62D604-44 | 2022-12-06 | High | No seatbelt
134299 | 66684445 | 56F253-22 | 2025-05-05 | Low | Illegal parking
962343 | 17952971 | 73B338-22 | 2024-01-04 | Low | Illegal parking
653570 | 17952971 | 83A741-91 | 2024-09-15 | High | Illegal parking
349153 | 25706651 | 52A281-71 | 2024-07-17 | Medium | Phone use while driving
331485 | 45305608 | 39D628-71 | 2022-07-24 | High | No seatbelt
511907 | 66684445 | 21F781-22 | 2024-03-18 | Medium | Running red light
708497 | 24545253 | 56F253-22 | 2023-08-03 | Low | Illegal parking
607143 | 65354353 | 60A939-31 | 2022-06-14 | Medium | Phone use while driving
818999 | 51061089 | 14E120-51 | 2023-03-10 | High | Phone use while driving
842549 | 51116127 | 39D628-71 | 2025-01-22 | High | Running red light
493816 | 41296223 | 21C133-81 | 2023-12-05 | Low | No seatbelt
139485 | 30121234 | 30G518-81 | 2023-04-28 | Medium | No seatbelt
494968 | 51061089 | 91D628-81 | 2024-04-21 | Medium | Phone use while driving
744789 | 71651897 | 41A279-44 | 2022-05-31 | High | Phone use while driving
774216 | 29470695 | 74E486-22 | 2024-03-14 | Medium | Illegal parking
335933 | 59335308 | 21A763-71 | 2024-10-24 | Low | Running red light
178333 | 41375623 | 56F689-51 | 2024-06-07 | Medium | Illegal parking
347370 | 62517336 | 91E213-91 | 2022-07-20 | Low | Speeding
699316 | 45305608 | 34G653-61 | 2025-04-15 | High | No seatbelt
893238 | 75463635 | 98B633-44 | 2023-02-09 | High | Running red light
294395 | 99540993 | 44C220-51 | 2023-08-01 | Low | No seatbelt
333704 | 33528270 | 39D628-71 | 2023-10-11 | Low | No seatbelt
775884 | 80180093 | 33C696-61 | 2024-01-23 | Medium | Speeding
573284 | 77272379 | 61F565-91 | 2025-04-23 | High | Phone use while driving
